frequency(Hz)	neutral	distress
87.0	0.5824910658288206	1.719604786591281
88.0	0.4940469313338853	1.7033550375945161
89.0	0.550567595749341	1.7402180620387888
90.0	0.5470355699704413	2.204715232200702
91.0	0.5967811973589714	2.170287952814893
92.0	0.5093877495070291	1.8481993366294953
93.0	0.49435100909025576	1.770552182353266
94.0	0.5501555824158267	1.6673543243101807
95.0	0.5758987028238982	1.5730490636239476
96.0	0.5627731966899534	1.6562008978357554
97.0	0.48797733889955336	1.6102614986503574
98.0	0.5955831235296563	1.449290611531583
99.0	0.5677085887628769	1.517490222636175
100.0	0.5965044430489349	1.453272274982163
101.0	0.5363433234343844	1.8821456448118647
102.0	0.6891079951360612	1.8092365473704386
103.0	0.6427770616676951	1.571800855929675
104.0	0.7494349962682209	1.6802928024403827
105.0	0.7644313469246844	1.6246438326307078
106.0	0.6954316995301688	1.518076103273906
107.0	0.8011991262686187	1.5038021586038153
108.0	0.8932338772562496	1.522030659332438
109.0	1.3581113367788484	1.6581449080474355
110.0	1.9699364677514921	2.3621587346884527
111.0	2.797214195427955	3.702393655027489
112.0	3.4834110281078825	3.756087182776623
113.0	2.59356117668716	3.297918043746469
114.0	1.8055261339385542	2.4367138939936934
115.0	1.6723971575109178	2.054881008455112
116.0	1.5932007057680824	1.8047759878195533
117.0	1.2756339501951546	1.6632877272857676
118.0	1.2049353350230272	1.6918409647258021
119.0	1.5572467634982037	1.6950095584172857
120.0	1.4657481982908487	2.209342660754845
121.0	1.5493234735601729	3.0238108701606197
122.0	1.442227330239929	2.385970942144654
123.0	1.4458239030306768	2.1938174923591807
124.0	1.1177981081558646	1.972718247732432
125.0	1.4007090656296703	1.602026546544704
126.0	1.1744578382816493	1.9123896750453484
127.0	1.4518407048765924	1.675565686377489
128.0	1.3679112393960025	2.117917360554935
129.0	1.0368805122815512	1.7535090283463015
130.0	1.103894954554346	1.5879929971177205
131.0	0.862318754351963	1.7234024565133927
132.0	1.00003610643507	1.6247910883491155
133.0	0.9397752660361044	1.736273363601249
134.0	1.3065860162609613	1.7028445147268372
135.0	1.2371029033775771	1.8875922945599604
136.0	1.6267542713448608	1.5497848300689239
137.0	1.408134016495845	1.541247718190599
138.0	0.9521581090414756	1.545952727930257
139.0	0.971492234483372	1.4046635588779852
140.0	0.7248541822669425	1.2761422964825584
141.0	0.7583426100874872	1.2804163452991915
142.0	0.7018447516371509	1.195225783367904
143.0	0.5892640998765256	1.1241315959994154
144.0	0.6215368122756021	1.066057511361514
145.0	0.48727311616789437	1.0408524883935897
146.0	0.5609684955607693	1.0331881496746091
147.0	0.4594168948004462	1.067612910879374
148.0	0.5795603646871857	1.0256770998935891
149.0	0.509211097189332	1.018187913262393
150.0	0.6599777987253267	1.028084943111913
151.0	0.6267130586576456	1.1139996575820679
152.0	0.710195900222968	1.1581793182217228
153.0	0.6456118719772588	1.1924367702461025
154.0	0.5416709078374108	1.1653795113129102
155.0	0.7660611836621948	0.9874709416593951
156.0	0.5897050429571629	0.9942809878787896
157.0	0.7130888929584975	0.9890667508949789
158.0	0.7863599764381505	0.9932759822630266
159.0	0.8106068939314203	0.9578157746067227
160.0	0.8198484723557162	1.0777506270277775
161.0	1.0208130782402756	1.117056402726007
162.0	0.9039745746375966	1.2213342025340876
163.0	0.9668584079253136	1.2018507877119198
164.0	0.7699326366335701	1.1272153321335199
165.0	0.7876154263153043	1.0211479997419128
166.0	0.6044705272863659	1.0011266151581637
167.0	0.5331715952400947	0.9344224062679863
168.0	0.5177684712683244	0.9786668787717424
169.0	0.5349748734019639	1.1189239590603461
170.0	0.5922376426167562	1.2129030048038112
171.0	0.5705963323499668	1.306446596618783
172.0	0.6746319973069668	1.1693025619270898
173.0	0.5926791620785281	1.1135244960002157
174.0	0.5677129064660194	0.9943639668117306
175.0	0.5449146884018448	0.999941272313135
176.0	0.5202966173544423	0.9343382510108977
177.0	0.5459347468967466	0.9245019235502671
178.0	0.6073101304311149	1.0135348786164802
179.0	0.6931613005138884	1.1575483374877742
180.0	0.7634835912735809	1.2352243146376847
